
> aframe-360-image-gallery-boilerplate@0.3.0-beta6 start /home/abrar/VR
> budo --live --verbose --port 3000 --open

[0000] info  Server running at http://45.76.184.39:3000/ (connect)
[0001] info  LiveReload running on 35729
[4720] 3ms        1232B GET    200 /components/set-image.js
[4720] 1ms         18KB GET    200 /img/pop1.jpg
[4720] 1ms         216B GET    200 /components/update-raycaster.js
[4720] 20ms        20KB GET    200 /img/pop9.jpg
[4720] 20ms        25KB GET    200 /img/thumb7.jpg
[4720] 20ms        17KB GET    200 /img/thumb2.jpg
[4720] 21ms        46KB GET    200 /img/pop5.jpg
[4720] 20ms        48KB GET    200 /img/pop3.jpg
[4720] 20ms        20KB GET    200 /img/pop2.jpg
[4720] 26ms        32KB GET    200 /img/thumb8.jpg
[4720] 26ms        17KB GET    200 /img/thumb1.jpg
[4720] 26ms        20KB GET    200 /img/pop8.jpg
[4720] 27ms        29KB GET    200 /img/pop11.jpg
[4720] 26ms        36KB GET    200 /img/pop12.jpg
[4720] 26ms        33KB GET    200 /img/thumb4.jpg
[4720] 27ms        20KB GET    200 /img/pop6.jpg
[4720] 27ms        48KB GET    200 /img/pop7.jpg
[4720] 27ms        13KB GET    200 /img/thumb5.jpg
[4720] 28ms        34KB GET    200 /img/thumb11.jpg
[4720] 29ms        30KB GET    200 /img/thumb10.jpg
[4720] 29ms        37KB GET    200 /img/pop10.jpg
[4720] 32ms        31KB GET    200 /img/pop4.jpg
[4720] 44ms        66KB GET    200 /img/thumb6.jpg
[4720] 45ms        66KB GET    200 /img/thumb12.jpg
[4720] 42ms        20KB GET    200 /img/thumb3.jpg
[4720] 24ms        37KB GET    200 /img/pop10.jpg
[4720] 26ms        20KB GET    200 /img/pop9.jpg
[4720] 26ms        20KB GET    200 /img/pop8.jpg
[4720] 28ms        29KB GET    200 /img/pop11.jpg
[4720] 27ms        36KB GET    200 /img/pop12.jpg
[4720] 21ms        17KB GET    200 /img/thumb1.jpg
[4721] 4ms         33KB GET    200 /img/thumb4.jpg
[4721] 5ms         13KB GET    200 /img/thumb5.jpg
[4721] 6ms         20KB GET    200 /img/thumb3.jpg
[4721] 7ms         17KB GET    200 /img/thumb2.jpg
[4721] 7ms         66KB GET    200 /img/thumb6.jpg
[4721] 36ms        25KB GET    200 /img/thumb7.jpg
[4721] 1ms         32KB GET    200 /img/thumb8.jpg
[4721] 1ms         30KB GET    200 /img/thumb10.jpg
[4721] 1ms         34KB GET    200 /img/thumb11.jpg
[4721] 2ms         66KB GET    200 /img/thumb12.jpg
[4721] 43ms        66KB GET    200 /img/4.jpg
[4721] 136ms       66KB GET    200 /img/2.jpg
[4724] 1ms        1232B GET    200 /components/set-image.js
[4724] 2ms         216B GET    200 /components/update-raycaster.js
[4727] 1ms        3652B GET    200 /img/backpacklogo.png
[4727] 1ms         18KB GET    200 /img/pop1.jpg
[4728] 1ms         20KB GET    200 /img/pop2.jpg
[4728] 1ms         48KB GET    200 /img/pop3.jpg
[4728] 2ms         31KB GET    200 /img/pop4.jpg
[4729] 1ms         46KB GET    200 /img/pop5.jpg
[4729] 1ms         20KB GET    200 /img/pop6.jpg
[4729] 0ms         48KB GET    200 /img/pop7.jpg
[4730] 1ms         20KB GET    200 /img/pop8.jpg
[4730] 1ms         20KB GET    200 /img/pop9.jpg
[4730] 1ms         37KB GET    200 /img/pop10.jpg
[4730] 2ms         29KB GET    200 /img/pop11.jpg
[4730] 1ms         36KB GET    200 /img/pop12.jpg
[4730] 1ms         17KB GET    200 /img/thumb1.jpg
[4730] 3ms         17KB GET    200 /img/thumb2.jpg
[4730] 3ms         33KB GET    200 /img/thumb4.jpg
[4730] 3ms         20KB GET    200 /img/thumb3.jpg
[4731] 0ms         13KB GET    200 /img/thumb5.jpg
[4731] 1ms         25KB GET    200 /img/thumb7.jpg
[4731] 3ms         34KB GET    200 /img/thumb11.jpg
[4731] 3ms         32KB GET    200 /img/thumb8.jpg
[4731] 6ms         30KB GET    200 /img/thumb10.jpg
[4731] 340ms       66KB GET    200 /img/thumb6.jpg
[4732] 729ms       66KB GET    200 /img/thumb12.jpg
[4555] 5ms         46KB GET    200 /img/pop5.jpg
[4555] 23ms       1232B GET    200 /components/set-image.js
[4555] 29ms        216B GET    200 /components/update-raycaster.js
[4555] 31ms        20KB GET    200 /img/pop2.jpg
[4555] 31ms        34KB GET    200 /img/thumb11.jpg
[4555] 33ms        18KB GET    200 /img/pop1.jpg
[4555] 30ms        31KB GET    200 /img/pop4.jpg
[4555] 29ms        36KB GET    200 /img/pop12.jpg
[4555] 31ms       3652B GET    200 /img/backpacklogo.png
[4555] 34ms        29KB GET    200 /img/pop11.jpg
[4555] 34ms        37KB GET    200 /img/pop10.jpg
[4555] 34ms        20KB GET    200 /img/pop8.jpg
[4555] 34ms        48KB GET    200 /img/pop7.jpg
[4555] 34ms        20KB GET    200 /img/thumb3.jpg
[4555] 34ms        17KB GET    200 /img/thumb1.jpg
[4555] 35ms        48KB GET    200 /img/pop3.jpg
[4555] 34ms        20KB GET    200 /img/pop9.jpg
[4555] 35ms        17KB GET    200 /img/thumb2.jpg
[4555] 35ms        25KB GET    200 /img/thumb7.jpg
[4555] 35ms        32KB GET    200 /img/thumb8.jpg
[4555] 35ms        33KB GET    200 /img/thumb4.jpg
[4555] 36ms        30KB GET    200 /img/thumb10.jpg
[4555] 36ms        13KB GET    200 /img/thumb5.jpg
[4555] 37ms        20KB GET    200 /img/pop6.jpg
[4555] 45ms        66KB GET    200 /img/thumb12.jpg
[4555] 39ms        66KB GET    200 /img/thumb6.jpg
[4555] 451ms       66KB GET    200 /img/4.jpg
[4555] 466ms       66KB GET    200 /img/2.jpg
[7987] 2ms        1232B GET    200 /components/set-image.js
[7988] 0ms         216B GET    200 /components/update-raycaster.js
[7990] 1ms        3652B GET    200 /img/backpacklogo.png
[7990] 1ms         18KB GET    200 /img/pop1.jpg
[7991] 2ms         20KB GET    200 /img/pop2.jpg
[7991] 2ms         48KB GET    200 /img/pop3.jpg
[7992] 2ms         31KB GET    200 /img/pop4.jpg
[7993] 1ms         46KB GET    200 /img/pop5.jpg
[7993] 1ms         20KB GET    200 /img/pop6.jpg
[7994] 1ms         48KB GET    200 /img/pop7.jpg
[7995] 2ms         20KB GET    200 /img/pop8.jpg
[7996] 1ms         20KB GET    200 /img/pop9.jpg
[7996] 1ms         37KB GET    200 /img/pop10.jpg
[7996] 2ms         29KB GET    200 /img/pop11.jpg
[7996] 2ms         36KB GET    200 /img/pop12.jpg
[7996] 2ms         17KB GET    200 /img/thumb1.jpg
[7996] 3ms         17KB GET    200 /img/thumb2.jpg
[7996] 1ms         20KB GET    200 /img/thumb3.jpg
[7997] 1ms         33KB GET    200 /img/thumb4.jpg
[7998] 3ms         13KB GET    200 /img/thumb5.jpg
[7998] 2ms         25KB GET    200 /img/thumb7.jpg
[7998] 1ms         32KB GET    200 /img/thumb8.jpg
[7998] 1ms         30KB GET    200 /img/thumb10.jpg
[7999] 1ms         34KB GET    200 /img/thumb11.jpg
[7999] 1283ms      66KB GET    200 /img/thumb6.jpg
[8002] 2552ms      66KB GET    200 /img/thumb12.jpg
[8439] 2ms         216B GET    200 /components/update-raycaster.js
[8439] 6ms        1232B GET    200 /components/set-image.js
[8439] 1ms           0B GET    304 /img/backpacklogo.png
[8440] 1ms           0B GET    304 /img/pop1.jpg
[8440] 1ms           0B GET    304 /img/pop2.jpg
[8440] 0ms           0B GET    304 /img/pop3.jpg
[8440] 0ms           0B GET    304 /img/pop4.jpg
[8440] 1ms           0B GET    304 /img/pop5.jpg
[8440] 1ms           0B GET    304 /img/pop6.jpg
[8440] 1ms           0B GET    304 /img/pop7.jpg
[8441] 0ms           0B GET    304 /img/pop9.jpg
[8441] 0ms           0B GET    304 /img/pop10.jpg
[8441] 1ms           0B GET    304 /img/pop12.jpg
[8441] 1ms           0B GET    304 /img/pop8.jpg
[8441] 1ms           0B GET    304 /img/thumb1.jpg
[8441] 1ms           0B GET    304 /img/pop11.jpg
[8441] 1ms           0B GET    304 /img/thumb5.jpg
[8441] 1ms           0B GET    304 /img/thumb3.jpg
[8441] 0ms           0B GET    304 /img/thumb4.jpg
[8441] 1ms           0B GET    304 /img/thumb6.jpg
[8441] 0ms           0B GET    304 /img/thumb2.jpg
[8441] 0ms           0B GET    304 /img/thumb7.jpg
[8441] 0ms           0B GET    304 /img/thumb8.jpg
[8441] 2ms           0B GET    304 /img/thumb10.jpg
[8441] 0ms           0B GET    304 /img/thumb11.jpg
[8441] 1ms           0B GET    304 /img/thumb12.jpg
[8441] 1ms           0B GET    304 /img/2.jpg
[8441] 1ms           0B GET    304 /img/4.jpg
[8456] 3ms        3652B GET    206 /img/backpacklogo.png
[8457] 1ms        3652B GET    200 /img/backpacklogo.png
[8457] 1ms        3652B GET    200 /img/backpacklogo.png
[8537] 1ms        1232B GET    200 /components/set-image.js
[8537] 1ms         216B GET    200 /components/update-raycaster.js
[8537] 40ms       3652B GET    200 /img/backpacklogo.png
[8540] 2ms         20KB GET    200 /img/pop2.jpg
[8540] 1ms         18KB GET    200 /img/pop1.jpg
[8540] 7ms         31KB GET    200 /img/pop4.jpg
[8540] 17ms        46KB GET    200 /img/pop5.jpg
[8540] 1ms         20KB GET    200 /img/pop6.jpg
[8540] 2ms         20KB GET    200 /img/pop8.jpg
[8540] 4ms         48KB GET    200 /img/pop3.jpg
[8540] 1ms         48KB GET    200 /img/pop7.jpg
[8540] 1ms         29KB GET    200 /img/pop11.jpg
[8540] 1ms         20KB GET    200 /img/pop9.jpg
[8541] 1ms         33KB GET    200 /img/thumb4.jpg
[8541] 1ms         17KB GET    200 /img/thumb2.jpg
[8541] 1ms         13KB GET    200 /img/thumb5.jpg
[8541] 1ms         17KB GET    200 /img/thumb1.jpg
[8541] 4ms         20KB GET    200 /img/thumb3.jpg
[8541] 5ms         36KB GET    200 /img/pop12.jpg
[8541] 4ms         37KB GET    200 /img/pop10.jpg
[8542] 2ms         25KB GET    200 /img/thumb7.jpg
[8542] 1ms         32KB GET    200 /img/thumb8.jpg
[8542] 443ms       66KB GET    200 /img/thumb6.jpg
[8542] 1ms        3652B GET    200 /img/backpacklogo.png
[8542] 1ms         30KB GET    200 /img/thumb10.jpg
[8542] 2ms         34KB GET    200 /img/thumb11.jpg
[8543] 839ms       66KB GET    200 /img/thumb12.jpg
[8562] 1ms        3652B GET    200 /img/backpacklogo.png
[8563] 1ms         216B GET    200 /components/update-raycaster.js
[8563] 3ms        1232B GET    200 /components/set-image.js
[8565] 3ms         31KB GET    200 /img/pop4.jpg
[8565] 4ms         18KB GET    200 /img/pop1.jpg
[8565] 1ms         46KB GET    200 /img/pop5.jpg
[8565] 2ms         20KB GET    200 /img/pop6.jpg
[8565] 3ms         48KB GET    200 /img/pop7.jpg
[8565] 3ms         20KB GET    200 /img/pop8.jpg
[8565] 3ms         20KB GET    200 /img/pop9.jpg
[8566] 1ms         48KB GET    200 /img/pop3.jpg
[8566] 1ms         37KB GET    200 /img/pop10.jpg
[8566] 1ms         17KB GET    200 /img/thumb2.jpg
[8566] 7ms         20KB GET    200 /img/pop2.jpg
[8566] 1ms         36KB GET    200 /img/pop12.jpg
[8567] 1ms         17KB GET    200 /img/thumb1.jpg
[8567] 1ms         20KB GET    200 /img/thumb3.jpg
[8567] 2ms         13KB GET    200 /img/thumb5.jpg
[8567] 2ms        3652B GET    200 /img/backpacklogo.png
[8567] 3ms         33KB GET    200 /img/thumb4.jpg
[8567] 4ms         29KB GET    200 /img/pop11.jpg
[8567] 9ms         34KB GET    200 /img/thumb11.jpg
[8567] 3ms         25KB GET    200 /img/thumb7.jpg
[8567] 2ms         30KB GET    200 /img/thumb10.jpg
[8568] 1ms         32KB GET    200 /img/thumb8.jpg
[8568] 3ms         66KB GET    200 /img/thumb6.jpg
[8568] 348ms       66KB GET    200 /img/thumb12.jpg
[8648] 2ms        3652B GET    200 /img/backpacklogo.png
[8658] 2ms        1232B GET    200 /components/set-image.js
[8658] 2ms         216B GET    200 /components/update-raycaster.js
[8660] 1ms        3652B GET    200 /img/backpacklogo.png
[8661] 1ms         18KB GET    200 /img/pop1.jpg
[8662] 1ms         20KB GET    200 /img/pop2.jpg
[8663] 2ms         48KB GET    200 /img/pop3.jpg
[8663] 2ms         31KB GET    200 /img/pop4.jpg
[8663] 1ms         20KB GET    200 /img/pop6.jpg
[8663] 2ms         46KB GET    200 /img/pop5.jpg
[8663] 1ms         48KB GET    200 /img/pop7.jpg
[8663] 1ms         20KB GET    200 /img/pop8.jpg
[8663] 1ms         20KB GET    200 /img/pop9.jpg
[8664] 1ms         37KB GET    200 /img/pop10.jpg
[8664] 1ms         29KB GET    200 /img/pop11.jpg
[8664] 2ms         36KB GET    200 /img/pop12.jpg
[8664] 1ms         17KB GET    200 /img/thumb1.jpg
[8665] 1ms         17KB GET    200 /img/thumb2.jpg
[8665] 2ms         20KB GET    200 /img/thumb3.jpg
[8665] 2ms         33KB GET    200 /img/thumb4.jpg
[8665] 6ms         13KB GET    200 /img/thumb5.jpg
[8666] 2ms         25KB GET    200 /img/thumb7.jpg
[8666] 1ms         32KB GET    200 /img/thumb8.jpg
[8666] 1ms         30KB GET    200 /img/thumb10.jpg
[8666] 723ms       66KB GET    200 /img/thumb6.jpg
[8666] 1ms         34KB GET    200 /img/thumb11.jpg
[8667] 1ms         66KB GET    200 /img/thumb12.jpg
[8681] 13.3s       66KB GET    200 /img/2.jpg
[8683] 15.5s       66KB GET    200 /img/4.jpg
[8770] 3ms        1232B GET    200 /components/set-image.js
[8770] 4ms         216B GET    200 /components/update-raycaster.js
[8770] 1ms        3652B GET    200 /img/backpacklogo.png
[8770] 1ms         18KB GET    200 /img/pop1.jpg
[8771] 1ms         20KB GET    200 /img/pop2.jpg
[8771] 1ms         48KB GET    200 /img/pop3.jpg
[8771] 2ms         31KB GET    200 /img/pop4.jpg
[8771] 2ms         46KB GET    200 /img/pop5.jpg
[8776] 2ms           1B GET    206 /img/pop5.jpg
[8776] 2ms         13KB GET    206 /img/pop5.jpg
[8777] 1ms         20KB GET    200 /img/pop6.jpg
[8777] 3ms         48KB GET    200 /img/pop7.jpg
[8777] 1ms         20KB GET    200 /img/pop8.jpg
[8777] 4ms         20KB GET    200 /img/pop9.jpg
[8777] 3ms         37KB GET    200 /img/pop10.jpg
[8777] 5ms         29KB GET    200 /img/pop11.jpg
[8777] 5ms         36KB GET    200 /img/pop12.jpg
[8777] 1ms         17KB GET    200 /img/thumb1.jpg
[8777] 1ms         17KB GET    200 /img/thumb2.jpg
[8777] 0ms         20KB GET    200 /img/thumb3.jpg
[8778] 1ms         33KB GET    200 /img/thumb4.jpg
[8778] 1ms         13KB GET    200 /img/thumb5.jpg
[8778] 1ms         25KB GET    200 /img/thumb7.jpg
[8778] 2ms         32KB GET    200 /img/thumb8.jpg
[8778] 3ms         30KB GET    200 /img/thumb10.jpg
[8778] 1ms         34KB GET    200 /img/thumb11.jpg
[8779] 619ms       66KB GET    200 /img/thumb6.jpg
[8780] 978ms       66KB GET    200 /img/thumb12.jpg
[8797] 17.9s       66KB GET    200 /img/4.jpg
[8799] 20.2s       66KB GET    200 /img/2.jpg
[0046] 5ms         18KB GET    200 /img/pop1.jpg
[0046] 5ms         48KB GET    200 /img/pop3.jpg
[0046] 5ms         20KB GET    200 /img/pop2.jpg
[0046] 5ms         31KB GET    200 /img/pop4.jpg
[0046] 4ms         46KB GET    200 /img/pop5.jpg
[0046] 2ms         48KB GET    200 /img/pop7.jpg
[0046] 4ms         20KB GET    200 /img/pop6.jpg
[0047] 1ms         36KB GET    200 /img/pop12.jpg
[0047] 1ms         20KB GET    200 /img/pop8.jpg
[0047] 2ms         37KB GET    200 /img/pop10.jpg
[0047] 1ms         29KB GET    200 /img/pop11.jpg
